2025-02-09 19:33:09,686 INFO [DailyTrainer] run_daily_training => start
2025-02-09 19:33:09,691 INFO [DailyTrainer] AI training => SHIB
2025-02-09 19:33:10,306 INFO [AITrain] SHIB => ep=0, loss=0.002897
2025-02-09 19:33:10,361 INFO [AITrain] SHIB => ep=1, loss=0.000051
2025-02-09 19:33:10,400 INFO [AITrain] SHIB => ep=2, loss=0.000000
2025-02-09 19:33:10,449 INFO [AITrain] SHIB => ep=3, loss=0.000000
2025-02-09 19:33:10,494 INFO [AITrain] SHIB => ep=4, loss=0.000000
2025-02-09 19:33:10,542 INFO [AITrain] SHIB => ep=5, loss=0.000036
2025-02-09 19:33:10,597 INFO [AITrain] SHIB => ep=6, loss=0.000000
2025-02-09 19:33:10,641 INFO [AITrain] SHIB => ep=7, loss=0.000000
2025-02-09 19:33:10,682 INFO [AITrain] SHIB => ep=8, loss=0.000000
2025-02-09 19:33:10,729 INFO [AITrain] SHIB => ep=9, loss=0.000000
2025-02-09 19:33:10,729 INFO [AITrain] SHIB => saved model => ai_models\ai_SHIB.pt
2025-02-09 19:33:10,737 INFO [DailyTrainer] AI training => TRX
2025-02-09 19:33:10,795 INFO [AITrain] TRX => ep=0, loss=0.039720
2025-02-09 19:33:10,844 INFO [AITrain] TRX => ep=1, loss=0.001399
2025-02-09 19:33:10,891 INFO [AITrain] TRX => ep=2, loss=0.000089
2025-02-09 19:33:10,931 INFO [AITrain] TRX => ep=3, loss=0.000043
2025-02-09 19:33:10,979 INFO [AITrain] TRX => ep=4, loss=0.000250
2025-02-09 19:33:11,030 INFO [AITrain] TRX => ep=5, loss=0.000007
2025-02-09 19:33:11,075 INFO [AITrain] TRX => ep=6, loss=0.000001
2025-02-09 19:33:11,117 INFO [AITrain] TRX => ep=7, loss=0.000164
2025-02-09 19:33:11,167 INFO [AITrain] TRX => ep=8, loss=0.000023
2025-02-09 19:33:11,218 INFO [AITrain] TRX => ep=9, loss=0.000212
2025-02-09 19:33:11,219 INFO [AITrain] TRX => saved model => ai_models\ai_TRX.pt
2025-02-09 19:33:11,220 INFO [DailyTrainer] Not enough data for AI => EUR
2025-02-09 19:33:11,225 INFO [DailyTrainer] AI training => MNT
2025-02-09 19:33:11,276 INFO [AITrain] MNT => ep=0, loss=0.324766
2025-02-09 19:33:11,325 INFO [AITrain] MNT => ep=1, loss=0.038405
2025-02-09 19:33:11,369 INFO [AITrain] MNT => ep=2, loss=0.002289
2025-02-09 19:33:11,416 INFO [AITrain] MNT => ep=3, loss=0.000085
2025-02-09 19:33:11,464 INFO [AITrain] MNT => ep=4, loss=0.000138
2025-02-09 19:33:11,511 INFO [AITrain] MNT => ep=5, loss=0.001383
2025-02-09 19:33:11,558 INFO [AITrain] MNT => ep=6, loss=0.000601
2025-02-09 19:33:11,603 INFO [AITrain] MNT => ep=7, loss=0.002822
2025-02-09 19:33:11,650 INFO [AITrain] MNT => ep=8, loss=0.000005
2025-02-09 19:33:11,698 INFO [AITrain] MNT => ep=9, loss=0.004653
2025-02-09 19:33:11,698 INFO [AITrain] MNT => saved model => ai_models\ai_MNT.pt
2025-02-09 19:33:11,702 INFO [DailyTrainer] AI training => XLM
2025-02-09 19:33:11,753 INFO [AITrain] XLM => ep=0, loss=0.115663
2025-02-09 19:33:11,803 INFO [AITrain] XLM => ep=1, loss=0.034193
2025-02-09 19:33:11,849 INFO [AITrain] XLM => ep=2, loss=0.008730
2025-02-09 19:33:11,897 INFO [AITrain] XLM => ep=3, loss=0.005396
2025-02-09 19:33:11,934 INFO [AITrain] XLM => ep=4, loss=0.002161
2025-02-09 19:33:11,990 INFO [AITrain] XLM => ep=5, loss=0.001367
2025-02-09 19:33:12,041 INFO [AITrain] XLM => ep=6, loss=0.001224
2025-02-09 19:33:12,089 INFO [AITrain] XLM => ep=7, loss=0.001752
2025-02-09 19:33:12,138 INFO [AITrain] XLM => ep=8, loss=0.001814
2025-02-09 19:33:12,182 INFO [AITrain] XLM => ep=9, loss=0.001408
2025-02-09 19:33:12,184 INFO [AITrain] XLM => saved model => ai_models\ai_XLM.pt
2025-02-09 19:33:12,189 INFO [DailyTrainer] AI training => DOGE
2025-02-09 19:33:12,240 INFO [AITrain] DOGE => ep=0, loss=0.094324
2025-02-09 19:33:12,287 INFO [AITrain] DOGE => ep=1, loss=0.029375
2025-02-09 19:33:12,339 INFO [AITrain] DOGE => ep=2, loss=0.009855
2025-02-09 19:33:12,384 INFO [AITrain] DOGE => ep=3, loss=0.002311
2025-02-09 19:33:12,437 INFO [AITrain] DOGE => ep=4, loss=0.002538
